id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
199,d,25.0,75.0,Muscle injury - 25% chance of playing,
687,a,,,,
307,a,,,,
317,a,100.0,100.0,,
318,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
319,a,,,,
320,a,,,,
476,i,0.0,0.0,Rib Injury - Expected back 18 Jan,
689,a,,,,
650,d,75.0,0.0,International Duty - 75% chance of playing,
651,a,,,,
652,a,,,,
653,u,0.0,0.0,Signed by CD Tondela,
654,a,100.0,100.0,,
8,a,100.0,75.0,,
133,a,,,,
159,d,25.0,0.0,Knee injury - 25% chance of playing,
1,a,,,,
2,a,,,,
429,a,,,,
4,a,,,,
753,a,,,,
550,a,,,,
43,u,0.0,0.0,Has joined Girona permanently.,
44,a,100.0,100.0,,
724,a,,,,
730,d,75.0,,Muscle injury - 75% chance of playing,
701,u,0.0,0.0,has joined Annecy on loan for the rest of the season.,
702,a,,,,
703,a,,,,
710,a,,,,
719,a,100.0,100.0,,
754,a,,,,
768,a,,,,
183,a,,,,
185,a,,,,
600,a,,,,
601,u,0.0,0.0,has joined Aris Limassol permanently.,
602,a,,,,
738,a,100.0,100.0,,
207,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
208,u,0.0,0.0,Has joined Espanyol on loan for the rest of the season.,
747,a,,,,
752,a,,,,
758,a,,,,
209,a,,,,
210,a,,,,
211,u,0.0,0.0,has joined Leicester City on loan for the rest of the season.,
628,a,,,,
629,d,25.0,25.0,Ankle injury - 25% chance of playing,
631,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
644,i,0.0,0.0,Hamstring injury - Expected back 24 Jan,
645,a,100.0,100.0,,
13,a,,,,
45,a,,,,
46,u,0.0,0.0,has joined Anderlecht on loan for the rest of the season.,
120,a,100.0,100.0,,
37,a,100.0,100.0,,
38,a,100.0,100.0,,
39,a,,,,
42,a,100.0,100.0,,
66,u,0.0,0.0,Has joined Botafogo permanently.,
67,a,,,,
68,i,0.0,,Ankle injury - Unknown return date,
219,u,0.0,0.0,has joined VfL Bochum  on loan for the rest of the season.,
470,a,100.0,100.0,,
676,a,100.0,100.0,,
90,a,100.0,75.0,,
145,a,100.0,100.0,,
147,u,0.0,0.0,Has joined AC Milan permanently,
220,a,,,,
351,a,100.0,100.0,,
352,a,100.0,100.0,,
353,i,0.0,0.0,Hamstring injury - Expected back 07 Feb,
241,s,0.0,100.0,Suspended until 07 Jan,
243,a,,,,
244,i,0.0,0.0,Thigh injury - Unknown return date,
245,s,0.0,0.0,Suspended - unknown return date,
384,a,100.0,100.0,,
385,a,100.0,100.0,,
692,i,0.0,0.0,Knee injury - Expected back 01 Sep,
551,a,,,,
552,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
553,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
444,a,,,,
445,u,0.0,0.0,has joined Sheffield Wednesday on loan for the rest of the season.,
446,a,,,,
447,a,100.0,100.0,,
771,a,,,,
52,a,100.0,100.0,,
593,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
594,u,0.0,0.0,Has joined Portsmouth on loan for the rest of the season.,
595,a,,,,
484,u,0.0,0.0,has joined Middlesbrough on loan for the rest of the season.,
485,a,100.0,100.0,,
486,d,75.0,75.0,Knock - 75% chance of playing,
674,a,,,,
571,a,100.0,100.0,,
488,a,,,,
489,a,,,,
745,a,,,,
620,a,100.0,100.0,,
640,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
641,a,,,,
642,a,100.0,100.0,,
3,u,0.0,0.0,Has joined Werder Bremen on loan for the rest of the season.,
5,a,100.0,100.0,,
6,a,100.0,100.0,,
7,i,0.0,75.0,Muscle injury - Unknown return date,
9,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
10,a,,,,
11,a,100.0,50.0,,
14,u,0.0,0.0,has joined Morecambe on loan for the rest of the season.,
15,a,,,,
16,a,100.0,100.0,,
17,a,100.0,100.0,,
18,a,100.0,100.0,,
19,a,100.0,100.0,,
20,a,100.0,100.0,,
21,d,50.0,50.0,Knee injury - 50% chance of playing,
22,a,,,,
23,u,0.0,0.0,has joined Hamburger on loan for the rest of the season.,
24,a,100.0,100.0,,
25,a,,,,
26,a,100.0,100.0,,
28,u,0.0,0.0,has joined Shrewsbury Town on loan for the rest of the season.,
29,u,0.0,0.0,has joined Hamburger permanently.,
30,a,100.0,50.0,,
31,a,100.0,100.0,,
266,a,,,,
662,i,0.0,0.0,Ankle injury - Unknown return date,
666,a,100.0,100.0,,
700,i,0.0,0.0,Ankle injury - Unknown return date,
711,a,,,,
725,a,100.0,100.0,,
759,a,,,,
32,a,100.0,100.0,,
33,a,,,,
34,u,0.0,0.0,Has joined Port Vale on loan for the rest of the season.,
35,u,0.0,0.0,Has joined Stevenage permanently.,
36,a,100.0,0.0,,
40,d,25.0,25.0,Hamstring injury - 25% chance of playing,
41,d,25.0,25.0,Calf injury - 25% chance of playing,
47,a,100.0,100.0,,
48,a,100.0,100.0,,
49,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season.,
50,a,100.0,100.0,,
51,u,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,
53,a,,,,
54,a,,,,
55,i,0.0,0.0,Knee injury - Expected back 07 Feb,
56,u,0.0,0.0,Season-long loan to Benfica,
57,u,0.0,0.0,Has joined Preston North End on loan for the rest of the season.,
58,a,100.0,0.0,,
59,i,0.0,100.0,Knock - Unknown return date,
60,a,,,,
61,u,0.0,0.0,Has joined Real Oviedo permanently.,
62,a,,,,
63,a,,,,
64,a,100.0,100.0,,
65,u,0.0,0.0,has joined Huddersfield Town on loan for the rest of the season.,
389,a,100.0,75.0,,
456,a,100.0,100.0,,
677,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 18 onwards. - Unknown return date,
688,a,,,,
757,a,,,,
184,u,0.0,0.0,has joined FC Fredericia permanently.,
186,i,0.0,0.0,Achilles injury - Unknown return date,
187,a,100.0,100.0,,
188,a,,,,
189,u,0.0,0.0,Has joined Stockport County on loan for the rest of the season.,
190,a,,,,
191,i,0.0,75.0,Knock - Expected back 07 Jan,
192,a,,,,
193,a,100.0,100.0,,
194,i,0.0,0.0,Hamstring injury - Unknown return date,
195,a,100.0,100.0,,
196,u,0.0,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,
197,a,,,,
198,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
200,a,100.0,100.0,,
201,u,0.0,0.0,has joined Swansea City on loan for the rest of the season.,
202,a,100.0,100.0,,
204,u,0.0,0.0,has joined Kocaelispor  permanently.,
205,i,0.0,50.0,Knee injury - Expected back 30 Sep,
206,a,,,,
212,u,0.0,0.0,Has joined Cercle Brugge on loan for the rest of the season.,
213,a,,,,
214,a,,,,
215,d,25.0,,Knock - 25% chance of playing,
216,i,0.0,0.0,Knee injury - Expected back 25 Apr,
217,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
218,a,,,,
680,a,100.0,100.0,,
722,a,,,,
69,a,,,,
70,u,0.0,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,
71,u,0.0,0.0,Has joined Paris Saint-Germain permanently.,
72,a,100.0,100.0,,
73,a,100.0,100.0,,
74,a,,,,
75,d,25.0,25.0,Muscle injury - 25% chance of playing,
76,a,,,,
77,a,,,,
78,u,0.0,100.0,has joined Celtic on loan for the rest of the season.,
79,u,0.0,0.0,has joined West Bromwich Albion permanently.,
80,a,100.0,100.0,,
81,a,100.0,100.0,,
82,a,100.0,100.0,,
84,a,,,,
85,i,0.0,0.0,Knee injury - Expected back 21 Feb,
86,a,100.0,100.0,,
87,i,0.0,100.0,Knee injury - Unknown return date,
88,d,75.0,100.0,Neck - 75% chance of playing,
89,u,0.0,0.0,Has joined Midtjylland permanently.,
91,u,0.0,0.0,Has joined Cruzeiro on loan for the rest of the season.,
92,u,0.0,0.0,has joined Al Taawoun permanently.,
93,u,0.0,0.0,has joined Marseille on loan for the rest of the season.,
94,u,0.0,0.0,has joined Novi Pazar on loan for the rest of the season.,
95,u,0.0,0.0,has joined Olympiakos permanently.,
96,u,0.0,0.0,has joined Barnet on loan for the rest of the season.,
97,a,100.0,100.0,,
98,a,100.0,100.0,,
99,u,0.0,0.0,has joined HNK Rijeka permanently.,
100,a,,,,
391,i,0.0,0.0,Hamstring injury - Unknown return date,
685,a,100.0,100.0,,
697,a,,,,
713,a,,,,
721,i,0.0,0.0,Knee injury - Expected back 21 Feb,
756,a,,,,
27,a,100.0,100.0,,
83,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
101,a,100.0,100.0,,
102,a,,,,
103,a,,,,
104,a,,,,
105,a,,,,
106,a,,,,
107,a,,,,
108,a,100.0,100.0,,
109,a,,,,
110,a,,,,
111,a,100.0,100.0,,
112,u,0.0,0.0,Has joined Southampton permanently.,
113,a,100.0,75.0,,
115,u,0.0,0.0,has joined Dender on loan for the rest of the season.,
116,a,100.0,100.0,,
117,u,0.0,0.0,has joined Kaiserslautern on loan for the rest of the season.,
118,u,0.0,0.0,Has joined Rangers on loan for the rest of the season.,
121,a,,,,
122,i,0.0,0.0,Knee injury - Expected back 01 Jun,
123,i,0.0,0.0,Knee injury - Expected back 01 Jun,
124,a,100.0,100.0,,
125,a,100.0,100.0,,
126,a,,,,
127,a,100.0,100.0,,
128,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
129,a,100.0,100.0,,
130,a,,,,
131,a,,,,
134,u,0.0,0.0,Has joined Wigan on loan for the rest of the season,
136,a,100.0,100.0,,
137,u,0.0,,has joined Shrewsbury on loan for the rest of the season.,
748,i,0.0,0.0,Knee injury - Expected back 01 Jan,
138,a,,,,
139,a,,,,
140,a,,,,
141,u,0.0,0.0,Has joined Coventry City on loan for the rest of the season.,
142,u,0.0,0.0,Has joined Union SG permanently,
143,a,,,,
144,a,,,,
146,a,100.0,100.0,,
148,a,,,,
150,u,0.0,0.0,has joined Fiorentina permanently.,
596,i,0.0,0.0,Ankle injury - Expected back 17 Jan,
597,a,,,,
151,a,100.0,100.0,,
152,a,100.0,100.0,,
154,u,0.0,0.0,Has joined Birmingham on loan for the rest of the season.,
155,u,0.0,0.0,has joined Harrogate Town on loan until January.,
157,a,100.0,100.0,,
158,a,100.0,100.0,,
160,d,75.0,,Dead leg - 75% chance of playing,
161,u,0.0,0.0,has joined Strasbourg permanently.,
162,a,100.0,100.0,,
605,a,,,,
606,a,100.0,100.0,,
163,a,100.0,100.0,,
164,u,0.0,0.0,has joined Marseille on loan for the rest of the season.,
165,u,0.0,0.0,has joined Lens permanently.,
166,a,100.0,100.0,,
167,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
169,a,100.0,100.0,,
170,a,100.0,100.0,,
171,u,0.0,0.0,has joined Cremonese on loan for the rest of the season.,
172,a,100.0,100.0,,
173,i,0.0,100.0,Toe Injury - Unknown return date,
174,u,0.0,0.0,Has joined Swansea City on loan for the rest of the season.,
175,a,,,,
176,u,0.0,0.0,has joined Dinamo Bucharest permanently.,
177,u,0.0,0.0,Has joined Los Angeles FC on loan for the rest of the season.,
178,a,100.0,100.0,,
179,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season,
180,i,0.0,0.0,Knee injury - Expected back 01 Jun,
181,a,,,,
744,a,,,,
761,a,,,,
168,a,100.0,100.0,,
221,a,,,,
222,u,0.0,0.0,Has joined RC Strasbourg on loan for the rest of the season.,
223,a,,,,
224,d,75.0,75.0,Hamstring injury - 75% chance of playing,
225,a,100.0,100.0,,
226,a,100.0,100.0,,
227,i,0.0,0.0,Anterior cruciate ligament - Unknown return date,
228,a,100.0,100.0,,
229,a,100.0,100.0,,
230,a,100.0,100.0,,
231,u,0.0,0.0,Has joined RC Strasbourg on loan for the rest of the season.,
232,a,100.0,100.0,,
233,a,100.0,100.0,,
234,u,0.0,0.0,has joined Borussia Dortmund on loan for the rest of the season.,
235,a,100.0,100.0,,
236,a,100.0,100.0,,
237,a,100.0,100.0,,
238,a,100.0,100.0,,
239,a,,,,
240,u,0.0,0.0,has joined AC Milan permanently.,
246,a,100.0,100.0,,
247,i,0.0,0.0,Thigh injury - Unknown return date,
248,u,0.0,0.0,Has joined RC Strasbourg on loan for the rest of the season.,
249,a,,,,
250,a,100.0,100.0,,
251,u,0.0,0.0,has joined Bayern Munich on loan for the rest of the season.,
252,a,100.0,100.0,,
453,a,,,,
672,d,25.0,25.0,Knock - 25% chance of playing,
743,a,,,,
253,a,,,,
254,a,100.0,100.0,,
255,a,,,,
256,i,0.0,0.0,Knee injury - Expected back 17 Jan,
257,a,,,,
258,a,,,,
259,a,100.0,100.0,,
260,a,100.0,100.0,,
261,d,25.0,50.0,Foot injury - 25% chance of playing,
262,d,25.0,25.0,Lack of match fitness - 25% chance of playing,
263,a,,,,
264,u,0.0,0.0,Has joined Colorado Rapids permanently.,
265,i,0.0,0.0,Back injury - Unknown return date,
267,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
268,i,0.0,0.0,Knee injury - Unknown return date,
269,a,,,,
270,d,75.0,100.0,Muscle injury - 75% chance of playing,
271,i,0.0,0.0,Hamstring injury - Expected back 21 Feb,
272,a,,,,
273,a,100.0,100.0,,
274,a,,,,
275,a,,,,
276,a,100.0,100.0,,
277,u,0.0,0.0,Has joined Blackpool permanently.,
278,u,0.0,0.0,has joined Caykur Rizespor on loan for the rest of the season.,
279,u,0.0,0.0,Has joined CR Vasco da Gama on loan for the rest of the season.,
280,u,0.0,0.0,Has joined Derby County on loan for the rest of the season.,
281,a,,,,
282,u,0.0,0.0,has joined Portsmouth permanently.,
283,a,100.0,100.0,,
284,d,25.0,100.0,Hamstring injury - 25% chance of playing,
285,u,0.0,0.0,has joined RC Lens permanently.,
286,a,,,,
580,a,,,,
690,i,0.0,0.0,Groin Injury - Expected back 25 Jan,
712,a,100.0,100.0,,
723,a,100.0,100.0,,
732,a,,,,
762,a,,,,
773,a,,,,
780,a,,,,
242,i,0.0,25.0,Hamstring injury - Unknown return date,
287,a,,,,
288,a,,,,
289,a,,,,
290,i,0.0,25.0,Hamstring injury - Expected back 18 Jan,
291,a,,,,
292,a,100.0,100.0,,
293,a,,,,
294,i,0.0,25.0,Hamstring injury - Unknown return date,
298,a,,,,
299,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
300,a,,,,
301,i,0.0,,Knock - Unknown return date,
302,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
303,a,,,,
304,a,100.0,100.0,,
305,a,100.0,0.0,,
306,a,,,,
308,u,0.0,0.0,has joined Accrington on loan for the rest of the season.,
309,u,0.0,0.0,Has joined Bradford City permanently.,
310,a,,,,
311,a,,,,
312,u,0.0,0.0,has joined Rangers permanently.,
313,u,0.0,0.0,has joined Rotherham United on loan for the rest of the season.,
419,a,100.0,75.0,,
630,a,,,,
667,a,100.0,100.0,,
704,u,0.0,0.0,has joined Stockport County on loan for the rest of the season.,
705,a,,,,
707,a,,,,
728,a,100.0,100.0,,
779,a,,,,
314,a,,,,
315,u,0.0,0.0,Has joined Millwall on loan for the rest of the season.,
316,a,100.0,100.0,,
321,a,,,,
322,d,25.0,100.0,Hamstring injury - 25% chance of playing,
323,a,,,,
324,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
325,a,100.0,100.0,,
326,a,,,,
327,u,0.0,0.0,has joined Palmeiras permanently.,
328,i,0.0,0.0,Hamstring injury - Expected back 07 Jan,
329,a,100.0,100.0,,
330,a,,,,
331,a,100.0,100.0,,
611,u,0.0,0.0,Has joined Swansea City on loan for the rest of the season.,
612,a,100.0,100.0,,
332,a,100.0,100.0,,
333,u,0.0,0.0,has joined Strasbourg permanently.,
334,u,0.0,0.0,Has joined Oxford United on loan for the rest of the season.,
335,d,25.0,,Knee injury - 25% chance of playing,
336,a,,,,
337,a,100.0,100.0,,
338,i,0.0,0.0,Hamstring injury - Expected back 01 Jan,
664,a,,,,
727,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
626,a,,,,
659,a,,,,
731,a,100.0,100.0,,
737,a,,,,
770,a,,,,
679,a,,,,
339,a,,,,
340,a,,,,
341,a,,,,
342,a,100.0,100.0,,
343,a,100.0,100.0,,
344,a,100.0,100.0,,
345,a,100.0,100.0,,
346,a,,,,
347,a,100.0,100.0,,
348,i,0.0,0.0,Ankle injury - Expected back 17 Jan,
349,u,0.0,0.0,has joined Werder Bremen on loan for the rest of the season.,
350,a,,,,
354,s,0.0,100.0,Suspended until 07 Jan,
355,u,0.0,0.0,has joined Pogon Szczecin permanently.,
356,a,,,,
357,u,0.0,0.0,has joined Valencia on loan for the rest of the season.,
358,a,100.0,100.0,,
359,u,0.0,0.0,Has joined Doncaster Rovers on loan for the rest of the season.,
360,u,0.0,0.0,Has joined Hull City on loan for the rest of the season.,
361,u,0.0,0.0,has joined Hull City permanently.,
362,a,100.0,100.0,,
363,u,0.0,0.0,has departed the club as a free agent.,
364,u,0.0,0.0,Has joined RCD Mallorca on loan for the rest of the season.,
365,a,100.0,100.0,,
493,i,0.0,0.0,Calf injury - Expected back 17 Jan,
660,a,100.0,100.0,,
665,a,100.0,100.0,,
691,a,100.0,100.0,,
698,a,100.0,100.0,,
706,a,,,,
741,a,100.0,100.0,,
366,a,100.0,100.0,,
367,a,,,,
368,a,,,,
369,a,,,,
370,a,100.0,100.0,,
371,a,,,,
372,a,,,,
373,a,,,,
374,a,100.0,100.0,,
375,a,100.0,100.0,,
376,d,50.0,25.0,Lack of match fitness - 50% chance of playing,
377,u,0.0,0.0,has joined AS Roma on loan for the rest of the season.,
378,a,100.0,100.0,,
379,a,,,,
380,a,,,,
381,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
382,a,100.0,100.0,,
383,u,0.0,0.0,Has joined Bayern Munch permanently.,
386,a,100.0,100.0,,
387,a,100.0,100.0,,
388,a,100.0,100.0,,
390,a,100.0,100.0,,
392,i,0.0,25.0,Ankle injury - Unknown return date,
