id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
1,a,,,,
2,a,,,,
3,u,0.0,0.0,Has joined Werder Bremen on loan for the rest of the season.,
4,a,,,,
5,d,25.0,25.0,Thigh injury - 25% chance of playing,
6,a,100.0,100.0,,
7,a,100.0,100.0,,
8,a,100.0,100.0,,
9,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
10,a,,,,
11,i,0.0,0.0,Hamstring injury - Expected back 03 Jan,
14,u,0.0,0.0,has joined Morecambe on loan for the rest of the season.,
15,a,,,,
16,a,100.0,100.0,,
17,a,100.0,100.0,,
18,a,100.0,100.0,,
19,d,75.0,100.0,Knock - 75% chance of playing,
20,a,100.0,100.0,,
21,a,100.0,100.0,,
22,a,,,,
28,u,0.0,0.0,has joined Shrewsbury Town on loan for the rest of the season.,
29,u,0.0,0.0,has joined Hamburger permanently.,
30,i,0.0,0.0,Knee injury - Unknown return date,
31,a,100.0,100.0,,
266,a,,,,
662,i,0.0,0.0,Ankle injury - Unknown return date,
666,a,100.0,100.0,,
700,i,0.0,0.0,Ankle injury - Unknown return date,
711,a,,,,
725,d,75.0,100.0,Knock - 75% chance of playing,
759,a,,,,
32,a,100.0,75.0,,
33,a,,,,
35,u,0.0,0.0,Has joined Stevenage permanently.,
36,a,100.0,100.0,,
45,a,,,,
46,u,0.0,0.0,has joined Anderlecht on loan for the rest of the season.,
34,u,0.0,0.0,Has joined Port Vale on loan for the rest of the season.,
47,a,100.0,100.0,,
48,a,100.0,100.0,,
49,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season.,
50,a,100.0,100.0,,
51,u,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,
389,d,75.0,75.0,Illness - 75% chance of playing,
456,a,100.0,0.0,,
677,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 18 onwards. - Unknown return date,
688,a,,,,
701,u,0.0,0.0,has joined Annecy on loan for the rest of the season.,
702,a,,,,
703,a,,,,
710,a,,,,
198,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
199,a,,,,
200,a,100.0,100.0,,
205,a,,,,
211,u,0.0,0.0,has joined Leicester City on loan for the rest of the season.,
214,a,,,,
215,a,,,,
216,i,0.0,0.0,Knee injury - Expected back 25 Apr,
217,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
219,u,0.0,0.0,has joined VfL Bochum  on loan for the rest of the season.,
470,a,100.0,100.0,,
676,a,100.0,100.0,,
680,a,100.0,100.0,,
722,a,,,,
66,u,0.0,0.0,Has joined Botafogo permanently.,
67,a,,,,
68,a,,,,
69,a,,,,
70,u,0.0,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,
71,u,0.0,0.0,Has joined Paris Saint-Germain permanently.,
72,a,100.0,100.0,,
73,a,100.0,100.0,,
74,a,,,,
75,d,25.0,25.0,Muscle injury - 25% chance of playing,
76,a,,,,
84,a,,,,
85,i,0.0,0.0,Knee injury - Expected back 21 Feb,
87,a,100.0,50.0,,
88,a,100.0,100.0,,
89,u,0.0,0.0,Has joined Midtjylland permanently.,
90,a,,,,
91,u,0.0,0.0,Has joined Cruzeiro on loan for the rest of the season.,
95,u,0.0,0.0,has joined Olympiakos permanently.,
96,u,0.0,0.0,has joined Barnet on loan for the rest of the season.,
203,a,,,,
97,a,100.0,100.0,,
98,a,100.0,100.0,,
99,u,0.0,0.0,has joined HNK Rijeka permanently.,
100,a,,,,
391,i,0.0,0.0,Hamstring injury - Unknown return date,
685,a,100.0,100.0,,
687,a,,,,
697,a,,,,
713,a,,,,
721,i,0.0,0.0,Knee injury - Expected back 21 Feb,
756,a,,,,
27,a,100.0,75.0,,
83,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
101,a,100.0,100.0,,
102,a,,,,
103,a,,,,
104,a,,,,
105,a,,,,
107,a,,,,
108,a,100.0,100.0,,
109,a,,,,
110,a,,,,
111,a,100.0,100.0,,
112,u,0.0,0.0,Has joined Southampton permanently.,
113,a,,,,
114,a,100.0,100.0,,
115,u,0.0,0.0,has joined Dender on loan for the rest of the season.,
116,a,100.0,100.0,,
118,u,0.0,0.0,Has joined Rangers on loan for the rest of the season.,
121,a,,,,
122,i,0.0,0.0,Knee injury - Expected back 01 Jun,
123,i,0.0,0.0,Knee injury - Expected back 01 Jun,
124,a,100.0,75.0,,
125,a,100.0,100.0,,
126,a,,,,
127,a,100.0,100.0,,
128,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
129,a,100.0,100.0,,
131,a,,,,
132,a,100.0,100.0,,
133,a,,,,
134,u,0.0,0.0,Has joined Wigan on loan for the rest of the season,
136,a,100.0,75.0,,
748,i,0.0,0.0,Knee injury - Expected back 01 Jan,
138,a,,,,
139,a,,,,
140,a,,,,
141,u,0.0,0.0,Has joined Coventry City on loan for the rest of the season.,
143,a,,,,
144,a,,,,
145,a,100.0,100.0,,
146,a,100.0,0.0,,
148,a,,,,
150,u,0.0,0.0,has joined Fiorentina permanently.,
151,d,75.0,,Illness - 75% chance of playing,
152,a,100.0,100.0,,
153,i,0.0,0.0,Knee injury - Unknown return date,
154,u,0.0,0.0,Has joined Birmingham on loan for the rest of the season.,
155,u,0.0,0.0,has joined Harrogate Town on loan until January.,
157,a,100.0,100.0,,
158,a,100.0,100.0,,
159,i,0.0,0.0,Knee injury - Expected back 03 Jan,
160,a,,,,
161,u,0.0,0.0,has joined Strasbourg permanently.,
162,a,100.0,100.0,,
163,a,100.0,100.0,,
164,u,0.0,0.0,has joined Marseille on loan for the rest of the season.,
165,u,0.0,0.0,has joined Lens permanently.,
166,a,100.0,100.0,,
167,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
169,a,100.0,0.0,,
170,a,100.0,100.0,,
171,u,0.0,0.0,has joined Cremonese on loan for the rest of the season.,
172,a,100.0,100.0,,
173,d,75.0,100.0,Knock - 75% chance of playing,
174,u,0.0,0.0,Has joined Swansea City on loan for the rest of the season.,
176,u,0.0,0.0,has joined Dinamo Bucharest permanently.,
177,u,0.0,0.0,Has joined Los Angeles FC on loan for the rest of the season.,
178,d,75.0,75.0,Back injury - 75% chance of playing,
179,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season,
180,i,0.0,0.0,Knee injury - Expected back 01 Jun,
181,a,,,,
761,a,,,,
220,a,,,,
221,a,,,,
222,u,0.0,0.0,Has joined RC Strasbourg on loan for the rest of the season.,
117,u,0.0,0.0,has joined Kaiserslautern on loan for the rest of the season.,
224,a,,,,
225,a,100.0,100.0,,
226,a,100.0,100.0,,
227,i,0.0,0.0,Anterior cruciate ligament - Unknown return date,
120,a,100.0,100.0,,
228,a,100.0,100.0,,
229,a,100.0,100.0,,
231,u,0.0,0.0,Has joined RC Strasbourg on loan for the rest of the season.,
232,a,100.0,100.0,,
233,a,100.0,100.0,,
234,u,0.0,0.0,has joined Borussia Dortmund on loan for the rest of the season.,
235,a,100.0,100.0,,
236,a,100.0,100.0,,
237,a,100.0,100.0,,
238,a,100.0,0.0,,
245,s,0.0,0.0,Suspended - unknown return date,
246,a,100.0,100.0,,
247,i,0.0,0.0,Thigh injury - Unknown return date,
248,u,0.0,0.0,Has joined RC Strasbourg on loan for the rest of the season.,
249,a,,,,
250,a,100.0,0.0,,
251,u,0.0,0.0,has joined Bayern Munich on loan for the rest of the season.,
252,a,100.0,100.0,,
453,a,,,,
672,a,,,,
253,a,,,,
254,a,100.0,100.0,,
255,a,,,,
256,i,0.0,0.0,Knee injury - Expected back 17 Jan,
257,a,,,,
258,a,,,,
259,a,100.0,100.0,,
260,a,100.0,100.0,,
261,d,50.0,100.0,Foot injury - 50% chance of playing,
262,d,25.0,25.0,Lack of match fitness - 25% chance of playing,
263,a,,,,
264,u,0.0,0.0,Has joined Colorado Rapids permanently.,
265,i,0.0,0.0,Back injury - Unknown return date,
