id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
33,a,,,,
104,a,,,,
744,a,,,,
125,a,100.0,100.0,,
126,a,,,,
278,a,100.0,100.0,,
413,a,100.0,0.0,,
301,a,100.0,0.0,,
779,a,,,,
443,a,,,,
746,a,,,,
434,a,,,,
439,a,,,,
588,a,100.0,100.0,,
10,a,,,,
86,i,0.0,75.0,Ankle injury - Unknown return date,
756,a,,,,
279,u,0.0,0.0,Has joined CR Vasco da Gama on loan for the rest of the season.,
282,u,0.0,0.0,has joined Portsmouth permanently.,
283,a,100.0,100.0,,
649,u,0.0,0.0,Has joined FC Metz on loan for the rest of the season.,
773,a,,,,
92,a,100.0,100.0,,
437,a,100.0,100.0,,
687,a,,,,
473,a,100.0,100.0,,
174,u,0.0,0.0,Has joined Swansea City on loan for the rest of the season.,
556,u,0.0,0.0,Has joined AS Saint-Etienne permanently.,
800,i,0.0,,Lack of match fitness - Expected back 22 Feb,
252,a,100.0,100.0,,
575,a,,,,
218,a,,,,
219,u,0.0,0.0,has joined Blackpool on loan for the rest of the season.,
470,a,100.0,100.0,,
178,a,100.0,100.0,,
179,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season,
180,i,0.0,0.0,Knee injury - Expected back 01 Jun,
76,a,,,,
476,d,75.0,0.0,Lack of match fitness - 75% chance of playing,
262,a,100.0,100.0,,
263,a,100.0,25.0,,
265,i,0.0,0.0,Back injury - Unknown return date,
272,a,100.0,100.0,,
274,a,,,,
122,i,0.0,0.0,Knee injury - Expected back 01 Jun,
123,i,0.0,0.0,Knee injury - Expected back 01 Jun,
124,d,75.0,75.0,Ankle injury - 75% chance of playing,
330,a,,,,
331,a,100.0,100.0,,
129,a,100.0,100.0,,
130,a,,,,
333,u,0.0,0.0,has joined Strasbourg permanently.,
334,u,0.0,0.0,Has joined Oxford United on loan for the rest of the season.,
137,u,0.0,0.0,has joined Shrewsbury on loan for the rest of the season.,
748,i,0.0,0.0,Knee injury - Expected back 01 Feb,
138,a,,,,
139,a,,,,
140,a,,,,
142,u,0.0,0.0,Has joined Union SG permanently,
143,a,,,,
144,a,,,,
145,a,100.0,100.0,,
146,a,100.0,100.0,,
147,u,0.0,0.0,Has joined AC Milan permanently,
568,a,,,,
569,a,100.0,100.0,,
172,a,100.0,100.0,,
173,i,0.0,0.0,Toe Injury - Unknown return date,
220,a,100.0,100.0,,
221,i,0.0,,Knock - Expected back 31 Jan,
222,u,0.0,0.0,Has joined RC Strasbourg on loan for the rest of the season.,
223,a,,,,
224,a,100.0,100.0,,
225,a,100.0,75.0,,
226,a,100.0,100.0,,
227,i,0.0,0.0,Anterior cruciate ligament - Unknown return date,
388,a,100.0,100.0,,
584,a,,,,
585,i,0.0,0.0,Hamstring injury - Unknown return date,
233,a,100.0,100.0,,
234,u,0.0,0.0,has joined Borussia Dortmund on loan for the rest of the season.,
390,a,100.0,100.0,,
595,a,,,,
596,a,100.0,100.0,,
392,a,100.0,100.0,,
750,a,,,,
751,a,,,,
235,d,75.0,75.0,Muscle injury - 75% chance of playing,
790,a,,,,
254,a,100.0,100.0,,
255,a,,,,
256,d,75.0,0.0,Lack of match fitness - 75% chance of playing,
257,a,,,,
258,a,,,,
259,a,100.0,100.0,,
416,a,,,,
417,a,100.0,100.0,,
418,a,100.0,100.0,,
420,u,0.0,0.0,has joined Galatasaray permanently.,
421,a,100.0,100.0,,
424,i,0.0,0.0,Hamstring injury - Unknown return date,
8,a,100.0,100.0,,
9,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
280,u,0.0,0.0,Has joined Derby County on loan for the rest of the season.,
281,a,,,,
13,a,,,,
