id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
1,a,,,,
2,a,,,,
3,u,0.0,0.0,Has joined Werder Bremen on loan for the rest of the season.,
4,a,,,,
5,i,0.0,0.0,Thigh injury - Unknown return date,
6,d,75.0,75.0,Ankle injury - 75% chance of playing,
7,s,0.0,100.0,Suspended until 20 Dec,
8,d,75.0,,Knock - 75% chance of playing,
9,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
10,a,,,,
11,a,100.0,100.0,,
13,a,,,,
14,u,0.0,0.0,has joined Morecambe on loan for the rest of the season.,
15,a,,,,
16,a,100.0,100.0,,
17,a,100.0,100.0,,
18,a,100.0,100.0,,
19,a,100.0,100.0,,
20,d,75.0,75.0,Calf injury - 75% chance of playing,
21,d,75.0,75.0,Illness - 75% chance of playing,
22,a,,,,
23,u,0.0,0.0,has joined Hamburger on loan for the rest of the season.,
24,a,100.0,100.0,,
25,a,,,,
26,a,100.0,100.0,,
28,u,0.0,0.0,has joined Shrewsbury Town on loan for the rest of the season.,
29,u,0.0,0.0,has joined Hamburger permanently.,
30,i,0.0,0.0,Knee injury - Unknown return date,
31,a,100.0,100.0,,
266,a,,,,
662,i,0.0,50.0,Ankle injury - Unknown return date,
666,a,100.0,100.0,,
700,i,0.0,,Ankle injury - Unknown return date,
711,a,,,,
725,a,100.0,100.0,,
759,a,,,,
32,d,75.0,75.0,Back injury - 75% chance of playing,
33,a,,,,
34,u,0.0,0.0,Has joined Port Vale on loan for the rest of the season.,
35,u,0.0,0.0,Has joined Stevenage permanently.,
36,a,100.0,100.0,,
37,a,100.0,100.0,,
38,a,100.0,100.0,,
39,a,,,,
40,i,0.0,0.0,Hamstring injury - Expected back 03 Jan,
41,d,75.0,,Calf injury - 75% chance of playing,
42,a,100.0,100.0,,
43,u,0.0,0.0,Has joined Girona permanently.,
44,a,100.0,100.0,,
45,a,,,,
46,u,0.0,0.0,has joined Anderlecht on loan for the rest of the season.,
47,a,100.0,100.0,,
48,a,100.0,100.0,,
49,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season.,
50,a,100.0,100.0,,
51,u,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,
53,a,,,,
54,a,,,,
55,i,0.0,0.0,Knee injury - Expected back 07 Feb,
56,u,0.0,0.0,Season-long loan to Benfica,
57,u,0.0,0.0,Has joined Preston North End on loan for the rest of the season.,
58,a,100.0,100.0,,
59,a,100.0,100.0,,
60,a,,,,
61,u,0.0,0.0,Has joined Real Oviedo permanently.,
62,a,,,,
63,a,,,,
64,a,100.0,100.0,,
65,u,0.0,0.0,has joined Huddersfield Town on loan for the rest of the season.,
389,a,100.0,100.0,,
456,a,100.0,100.0,,
677,a,100.0,,,
688,a,,,,
701,u,0.0,0.0,has joined Annecy on loan for the rest of the season.,
702,a,,,,
703,a,,,,
710,a,,,,
719,a,100.0,100.0,,
754,a,,,,
757,a,,,,
183,a,,,,
184,u,0.0,0.0,has joined FC Fredericia permanently.,
185,a,,,,
186,i,0.0,0.0,Achilles injury - Unknown return date,
187,s,0.0,,Suspended until 20 Dec,
188,a,,,,
189,u,0.0,0.0,Has joined Stockport County on loan for the rest of the season.,
190,a,,,,
191,a,,,,
192,a,,,,
193,i,0.0,0.0,Muscle injury - Expected back 03 Jan,
194,i,0.0,0.0,Hamstring injury - Unknown return date,
195,s,0.0,,Suspended until 20 Dec,
196,u,0.0,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,
197,a,,,,
198,d,50.0,0.0,Knock - 50% chance of playing,
199,a,,,,
200,a,100.0,100.0,,
201,u,0.0,0.0,has joined Swansea City on loan for the rest of the season.,
202,a,100.0,100.0,,
203,a,,,,
204,u,0.0,0.0,has joined Kocaelispor  permanently.,
205,a,,,,
206,a,,,,
207,s,0.0,0.0,Suspended until 30 Dec,
208,u,0.0,0.0,Has joined Espanyol on loan for the rest of the season.,
209,a,,,,
210,a,,,,
211,u,0.0,0.0,has joined Leicester City on loan for the rest of the season.,
212,u,0.0,0.0,Has joined Cercle Brugge on loan for the rest of the season.,
213,a,,,,
214,a,,,,
215,a,,,,
216,i,0.0,0.0,Knee injury - Unknown return date,
217,a,100.0,100.0,,
218,a,,,,
219,u,0.0,0.0,has joined VfL Bochum  on loan for the rest of the season.,
470,a,100.0,100.0,,
676,a,100.0,100.0,,
680,a,100.0,100.0,,
722,a,,,,
66,u,0.0,0.0,Has joined Botafogo permanently.,
67,a,,,,
68,a,,,,
69,a,,,,
70,u,0.0,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,
71,u,0.0,0.0,Has joined Paris Saint-Germain permanently.,
72,d,75.0,100.0,Thigh injury - 75% chance of playing,
73,a,100.0,100.0,,
74,a,,,,
75,d,25.0,25.0,Muscle injury - 25% chance of playing,
76,a,,,,
77,a,,,,
78,a,100.0,100.0,,
79,u,0.0,0.0,has joined West Bromwich Albion permanently.,
80,a,100.0,100.0,,
81,a,100.0,100.0,,
82,a,100.0,100.0,,
84,a,,,,
85,a,100.0,0.0,,
86,a,100.0,100.0,,
87,i,0.0,0.0,Knee injury - Expected back 26 Dec,
88,s,0.0,0.0,Suspended until 20 Dec,
89,u,0.0,0.0,Has joined Midtjylland permanently.,
90,a,,,,
91,u,0.0,0.0,Has joined Cruzeiro on loan for the rest of the season.,
92,u,0.0,0.0,has joined Al Taawoun permanently.,
93,u,0.0,0.0,has joined Marseille on loan for the rest of the season.,
94,u,0.0,0.0,has joined Novi Pazar on loan for the rest of the season.,
95,u,0.0,0.0,has joined Olympiakos permanently.,
96,u,0.0,0.0,has joined Barnet on loan for the rest of the season.,
97,a,100.0,100.0,,
98,a,100.0,100.0,,
99,u,0.0,0.0,has joined HNK Rijeka permanently.,
100,a,,,,
391,i,0.0,0.0,Hamstring injury - Unknown return date,
685,a,100.0,100.0,,
687,a,,,,
697,a,,,,
713,a,,,,
721,i,0.0,50.0,Knee injury - Expected back 21 Feb,
756,a,,,,
27,d,75.0,100.0,Knock - 75% chance of playing,
83,a,100.0,100.0,,
101,a,100.0,100.0,,
102,a,,,,
103,a,,,,
104,a,,,,
105,a,,,,
106,a,,,,
107,a,,,,
108,a,100.0,100.0,,
109,a,,,,
110,a,,,,
111,a,100.0,100.0,,
112,u,0.0,0.0,Has joined Southampton permanently.,
113,a,,,,
114,a,100.0,100.0,,
115,u,0.0,0.0,has joined Dender on loan for the rest of the season.,
116,a,100.0,100.0,,
117,u,0.0,0.0,has joined Kaiserslautern on loan for the rest of the season.,
118,u,0.0,0.0,Has joined Rangers on loan for the rest of the season.,
120,s,0.0,100.0,Suspended until 20 Dec,
121,a,,,,
122,i,0.0,0.0,Knee injury - Expected back 01 Jun,
123,i,0.0,0.0,Knee injury - Expected back 01 Jun,
124,a,,,,
125,a,100.0,100.0,,
126,a,,,,
127,a,100.0,100.0,,
128,a,,,,
129,a,100.0,100.0,,
130,a,,,,
131,a,,,,
132,a,100.0,100.0,,
133,a,,,,
134,u,0.0,0.0,Has joined Wigan on loan for the rest of the season,
136,a,,,,
137,a,,,,
748,i,0.0,0.0,Knee injury - Expected back 01 Jan,
138,a,,,,
139,a,,,,
140,a,,,,
141,u,0.0,0.0,Has joined Coventry City on loan for the rest of the season.,
142,u,0.0,0.0,Has joined Union SG permanently,
143,a,,,,
144,a,,,,
145,a,100.0,100.0,,
146,a,,,,
147,u,0.0,0.0,Has joined AC Milan permanently,
148,a,,,,
150,u,0.0,0.0,has joined Fiorentina permanently.,
151,a,,,,
152,a,100.0,100.0,,
153,i,0.0,0.0,Knee injury - Unknown return date,
154,u,0.0,0.0,Has joined Birmingham on loan for the rest of the season.,
155,u,0.0,0.0,has joined Harrogate Town on loan until January.,
156,a,,,,
157,a,100.0,50.0,,
158,a,100.0,75.0,,
159,i,0.0,0.0,Knee injury - Expected back 03 Jan,
160,a,,,,
161,u,0.0,0.0,has joined Strasbourg permanently.,
162,a,100.0,100.0,,
163,a,100.0,100.0,,
164,u,0.0,0.0,has joined Marseille on loan for the rest of the season.,
165,u,0.0,0.0,has joined Lens permanently.,
