id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
35,u,0.0,0.0,Has joined Stevenage permanently.,
688,a,,,,
190,a,,,,
776,a,,,,
146,a,100.0,100.0,,
296,a,100.0,100.0,,
80,a,100.0,100.0,,
159,d,25.0,25.0,Knee injury - 25% chance of playing,
756,a,,,,
741,u,0.0,100.0,has joined Rotherham United on loan for the rest of the season.,
175,a,,,,
513,a,,,,
112,u,0.0,0.0,Has joined Southampton permanently.,
608,a,100.0,100.0,,
640,a,100.0,0.0,,
58,i,0.0,100.0,Knee injury - Unknown return date,
64,a,100.0,100.0,,
65,u,0.0,0.0,has joined Huddersfield Town on loan for the rest of the season.,
677,a,100.0,0.0,,
757,a,,,,
123,i,0.0,0.0,Knee injury - Expected back 01 Jun,
270,a,100.0,100.0,,
287,a,,,,
305,a,100.0,100.0,,
308,u,0.0,0.0,has joined Accrington on loan for the rest of the season.,
309,u,0.0,0.0,Has joined Bradford City permanently.,
139,a,,,,
140,a,,,,
312,u,0.0,0.0,has joined Rangers permanently.,
313,u,0.0,0.0,has joined Rotherham United on loan for the rest of the season.,
419,a,100.0,100.0,,
630,a,,,,
667,a,100.0,100.0,,
19,a,100.0,100.0,,
779,a,,,,
319,a,,,,
770,a,,,,
771,a,,,,
87,d,75.0,0.0,Knee injury - 75% chance of playing,
275,u,0.0,,has joined AJ Auxerre permanently.,
89,u,0.0,0.0,Has joined Midtjylland permanently.,
276,a,100.0,100.0,,
538,u,0.0,,has joined York City on loan for the rest of the season.,
541,a,100.0,25.0,,
116,a,100.0,100.0,,
117,u,0.0,0.0,has joined Kaiserslautern on loan for the rest of the season.,
118,u,0.0,0.0,Has joined Rangers on loan for the rest of the season.,
120,a,100.0,100.0,,
127,a,100.0,100.0,,
300,a,,,,
301,i,0.0,0.0,Knock - Unknown return date,
25,a,,,,
137,u,0.0,0.0,has joined Shrewsbury on loan for the rest of the season.,
302,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Expected back 26 Jan,
304,i,0.0,100.0,Knock - Unknown return date,
568,a,,,,
569,a,100.0,100.0,,
572,a,100.0,100.0,,
573,a,,,,
768,a,,,,
239,d,75.0,,Illness - 75% chance of playing,
354,a,100.0,100.0,,
355,u,0.0,0.0,has joined Pogon Szczecin permanently.,
615,a,100.0,100.0,,
194,i,0.0,0.0,Hamstring injury - Unknown return date,
250,d,75.0,100.0,Illness - 75% chance of playing,
493,a,100.0,100.0,,
660,a,100.0,100.0,,
201,u,0.0,0.0,has joined Swansea City on loan for the rest of the season.,
679,a,,,,
778,a,,,,
266,a,,,,
47,a,100.0,100.0,,
48,a,100.0,100.0,,
49,u,0.0,0.0,has joined AS Roma on loan for the rest of the season.,
51,u,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,
53,u,0.0,,has joined Roma on loan for the rest of the season.,
54,a,,,,
55,i,0.0,0.0,Knee injury - Expected back 07 Feb,
56,u,0.0,0.0,Season-long loan to Benfica,
57,u,0.0,0.0,Has joined Preston North End on loan for the rest of the season.,
59,i,0.0,0.0,Muscle injury - Expected back 25 Jan,
60,a,,,,
61,u,0.0,0.0,Has joined Real Oviedo permanently.,
62,a,,,,
389,a,100.0,100.0,,
456,a,100.0,100.0,,
701,u,0.0,0.0,has joined Annecy on loan for the rest of the season.,
702,a,,,,
719,a,100.0,100.0,,
754,a,,,,
184,u,0.0,0.0,has joined FC Fredericia permanently.,
185,a,,,,
186,i,0.0,0.0,Achilles injury - Unknown return date,
189,u,0.0,0.0,Has joined Stockport County on loan for the rest of the season.,
193,a,100.0,100.0,,
196,u,0.0,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,
197,a,,,,
205,i,0.0,0.0,Knee injury - Expected back 30 Sep,
206,a,,,,
470,a,100.0,100.0,,
676,a,100.0,100.0,,
680,a,100.0,100.0,,
722,a,,,,
75,d,25.0,25.0,Muscle injury - 25% chance of playing,
77,a,,,,
78,u,0.0,0.0,has joined Celtic on loan for the rest of the season.,
79,u,0.0,0.0,has joined West Bromwich Albion permanently.,
81,i,0.0,0.0,Knee injury - Expected back 09 May,
84,a,,,,
